Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3
1649289005.2926686,[],0,0.0,0.0,0.0,0.0
1649289005.4428356,[],0,0.0,0.0,0.0,0.0
1649289005.5917816,[],0,0.0,0.0,0.0,0.0
1649289005.6913602,[],0,0.0,0.0,0.0,0.0
1649289005.846396,[],0,0.0,0.0,0.0,0.0
1649289005.9913378,[],0,0.0,0.0,0.0,0.0
1649289006.1439164,[],0,0.0,0.0,0.0,0.0
1649289006.2914648,[],0,0.0,0.0,0.0,0.0
1649289006.391404,[],0,0.0,0.0,0.0,0.0
1649289006.5430336,[],0,0.0,0.0,0.0,0.0
1649289006.691461,[],0,0.0,0.0,0.0,0.0
1649289006.8416572,[],0,0.0,0.0,0.0,0.0
1649289006.9916658,[],0,0.0,0.0,0.0,0.0
1649289007.0916975,[],0,0.0,0.0,0.0,0.0
1649289007.2417305,[],0,0.0,0.0,0.0,0.0
1649289007.3915095,[],0,0.0,0.0,0.0,0.0
1649289007.5421047,[],0,0.0,0.0,0.0,0.0
1649289007.6915076,[],0,0.0,0.0,0.0,0.0
1649289007.792028,[],0,0.0,0.0,0.0,0.0
1649289007.9418,[],0,0.0,0.0,0.0,0.0
1649289008.0919025,[],0,0.0,0.0,0.0,0.0
1649289008.2418683,[],0,0.0,0.0,0.0,0.0
1649289008.343953,[],0,0.0,0.0,0.0,0.0
1649289008.4921334,[],0,0.0,0.0,0.0,0.0
1649289008.6423535,[],0,0.0,0.0,0.0,0.0
1649289008.792142,[],0,0.0,0.0,0.0,0.0
1649289008.9418087,[],0,0.0,0.0,0.0,0.0
1649289009.0421789,[],0,0.0,0.0,0.0,0.0
1649289009.1919723,[],0,0.0,0.0,0.0,0.0
1649289009.342534,[],0,0.0,0.0,0.0,0.0
1649289009.492145,[],0,0.0,0.0,0.0,0.0
1649289009.643395,[],0,0.0,0.0,0.0,0.0
1649289009.7423573,[],0,0.0,0.0,0.0,0.0
1649289009.8918314,[],0,0.0,0.0,0.0,0.0
1649289010.0419996,[],0,0.0,0.0,0.0,0.0
1649289010.1919637,[],0,0.0,0.0,0.0,0.0
1649289010.3461072,[],0,0.0,0.0,0.0,0.0
1649289010.4448566,[],0,0.0,0.0,0.0,0.0
1649289010.5925696,[],0,0.0,0.0,0.0,0.0
1649289010.7426343,[],0,0.0,0.0,0.0,0.0
1649289010.8928258,[],0,0.0,0.0,0.0,0.0
1649289010.9917967,[],0,0.0,0.0,0.0,0.0
1649289011.1422565,[],0,0.0,0.0,0.0,0.0
1649289011.2925797,[],0,0.0,0.0,0.0,0.0
1649289011.4427366,[],0,0.0,0.0,0.0,0.0
1649289011.5932958,[],0,0.0,0.0,0.0,0.0
1649289011.6939108,[],0,0.0,0.0,0.0,0.0
1649289011.8439155,[],0,0.0,0.0,0.0,0.0
1649289011.9922287,[],0,0.0,0.0,0.0,0.0
1649289012.142671,[],0,0.0,0.0,0.0,0.0
1649289012.2920296,[],0,0.0,0.0,0.0,0.0
1649289012.392006,[],0,0.0,0.0,0.0,0.0
1649289012.5425463,[],0,0.0,0.0,0.0,0.0
1649289012.6920223,[],0,0.0,0.0,0.0,0.0
1649289012.8447294,[],0,0.0,0.0,0.0,0.0
1649289012.9932294,[],0,0.0,0.0,0.0,0.0
1649289013.093754,[],0,0.0,0.0,0.0,0.0
1649289013.2435167,[],0,0.0,0.0,0.0,0.0
1649289013.3920708,[],0,0.0,0.0,0.0,0.0
1649289013.5430791,[],0,0.0,0.0,0.0,0.0
1649289013.6934762,[],0,0.0,0.0,0.0,0.0
1649289013.795148,[],0,0.0,0.0,0.0,0.0
1649289013.9432938,[],0,0.0,0.0,0.0,0.0
1649289014.0929754,[],0,0.22280819714069366,0.0,0.2546379566192627,0.0
1649289014.2422085,[],0,0.5417299270629883,0.3823975622653961,0.5735963582992554,0.414264053106308
1649289014.342353,[],0,1.2884595394134521,1.3361802101135254,1.1930180788040161,1.2407387495040894
1649289014.492158,[],0,0.4459041655063629,0.6688562035560608,0.41405385732650757,0.4777544438838959
1649289014.6433897,[],0,0.3499469459056854,0.47720038890838623,0.3817603290081024,0.3499469459056854
1649289014.7947376,[],0,0.5378603935241699,0.3480273187160492,0.5378603935241699,0.5062215328216553
1649289014.9422784,[],0,0.544163167476654,0.640191912651062,0.5121535658836365,0.544163167476654
1649289015.0438027,[],0,0.7614684104919434,0.7138766050338745,0.7614684104919434,0.7614684104919434
1649289015.1929634,[],0,0.3498869240283966,0.3498869240283966,0.31807902455329895,0.3498869240283966
1649289015.343846,[],0,0.5400497913360596,0.5400497913360596,0.5400497913360596,0.4765145480632782
1649289015.4933188,[],0,0.5406081080436707,0.5088076591491699,0.5088076591491699,0.5406081080436707
1649289015.5929122,[],0,0.7667803764343262,0.7667803764343262,0.7667803764343262,0.7667803764343262
1649289015.746685,[],0,0.3496558964252472,0.3178689777851105,0.3178689777851105,0.3496558964252472
1649289015.8931308,[],0,0.5092759132385254,0.5411056280136108,0.5092759132385254,0.5092759132385254
1649289015.9926925,[],0,0.8132192492485046,0.8132192492485046,0.7653828263282776,0.7653828263282776
1649289016.143224,[],0,0.38099586963653564,0.31749656796455383,0.34924620389938354,0.34924620389938354
1649289016.2943995,[],0,0.5096696019172668,0.5415239334106445,0.5096696019172668,0.5096696019172668
1649289016.3928254,[],0,0.7656827569007874,0.7178276181221008,0.7178276181221008,0.8135379552841187
1649289016.5431023,[],0,0.3814197778701782,0.3496347963809967,0.3496347963809967,0.3178498148918152
1649289016.692738,[],0,0.5418023467063904,0.5418023467063904,0.5418023467063904,0.5418023467063904
1649289016.8445907,[],0,0.5406656265258789,0.47705790400505066,0.47705790400505066,0.508861780166626
1649289016.9439986,[],0,0.7622436881065369,0.7622436881065369,0.7622436881065369,0.8098839521408081
1649289017.0930576,[],0,0.3508756160736084,0.31897783279418945,0.31897783279418945,0.3508756160736084
1649289017.2444308,[],0,0.5717983841896057,0.5082652568817139,0.5082652568817139,0.5400318503379822
1649289017.3439553,[],0,0.7641652822494507,0.7641652822494507,0.8119255900382996,0.7641652822494507
1649289017.4929547,[],0,0.3825022578239441,0.31875190138816833,0.31875190138816833,0.350627064704895
1649289017.6429648,[],0,0.5093261003494263,0.47749319672584534,0.5093261003494263,0.5411589741706848
1649289017.7939243,[],0,0.5723358988761902,0.5087429881095886,0.5087429881095886,0.5405394434928894
1649289017.892986,[],0,0.8120650053024292,0.6687594652175903,0.7165279984474182,0.8120650053024292
1649289018.0441327,[],0,0.3818749785423279,0.3818749785423279,0.3500520586967468,0.3500520586967468
1649289018.1931183,[],0,0.541115939617157,0.5092856287956238,0.5092856287956238,0.541115939617157
1649289018.2934864,[],0,0.8124216198921204,0.7646321058273315,0.7168425917625427,0.7646321058273315
1649289018.4429657,[],0,0.3817857801914215,0.3499703109264374,0.3499703109264374,0.413601279258728
1649289018.5929396,[],0,0.5411486625671387,0.4774841070175171,0.5411486625671387,0.4774841070175171
1649289018.6930628,[],0,0.8115752339363098,0.7638355493545532,0.7638355493545532,0.8115752339363098
1649289018.844409,[],0,0.31797701120376587,0.34977468848228455,0.31797701120376587,0.34977468848228455
1649289018.992927,[],0,0.573493242263794,0.5416325330734253,0.4779110252857208,0.573493242263794
1649289019.1432657,[],0,0.5405609011650085,0.5087631940841675,0.5405609011650085,0.5087631940841675
1649289019.2431734,[],0,0.8119662404060364,0.7642035484313965,0.7642035484313965,0.8119662404060364
1649289019.3929753,[],0,0.35032764077186584,0.35032764077186584,0.35032764077186584,0.35032764077186584
1649289019.5440443,[],0,0.5403198003768921,0.5085362792015076,0.5085362792015076,0.5085362792015076
1649289019.6445425,[],0,0.8106206059455872,0.8106206059455872,0.762937068939209,0.8583042025566101
1649289019.8011286,[],0,0.3186900019645691,0.3186900019645691,0.3505589962005615,0.3186900019645691
1649289019.9442623,[],0,0.541296660900116,0.541296660900116,0.509455680847168,0.541296660900116
1649289020.0929997,[],0,0.5411993861198425,0.509364128112793,0.509364128112793,0.5411993861198425
1649289020.1933794,[],0,0.811567485332489,0.811567485332489,0.811567485332489,0.811567485332489
1649289020.3444388,[],0,0.3160175085067749,0.34761926531791687,0.34761926531791687,0.3160175085067749
1649289020.493097,[],0,0.5448834300041199,0.512831449508667,0.512831449508667,0.5448834300041199
1649289020.593096,[],0,0.8116487860679626,0.8116487860679626,0.8116487860679626,0.8116487860679626
1649289020.744391,[],0,0.3474191427230835,0.3474191427230835,0.3474191427230835,0.3474191427230835
1649289020.8930552,[],0,0.5453442931175232,0.5453442931175232,0.5453442931175232,0.5453442931175232
1649289021.044188,[],0,0.5380389094352722,0.5380389094352722,0.5380389094352722,0.5380389094352722
1649289021.1449516,[],0,0.8169583678245544,0.8169583678245544,0.7689020037651062,0.8169583678245544
1649289021.293171,[],0,0.3823464810848236,0.3823464810848236,0.3823464810848236,0.3504842519760132
1649289021.4433985,[],0,0.5406553149223328,0.5406553149223328,0.5088520646095276,0.5406553149223328
1649289021.5434048,[],0,0.8121444582939148,0.8121444582939148,0.8121444582939148,0.8121444582939148
1649289021.6936345,[],0,0.3502129018306732,0.38205042481422424,0.3502129018306732,0.38205042481422424
1649289021.8443482,[],0,0.5402229428291321,0.5402229428291321,0.5084450840950012,0.5084450840950012
1649289021.9433632,[],0,0.8126329779624939,0.7648310661315918,0.7648310661315918,0.8604349493980408
1649289022.0936875,[],0,0.38169726729393005,0.38169726729393005,0.38169726729393005,0.3498891592025757
1649289022.243388,[],0,0.5412673950195312,0.5094281435012817,0.5094281435012817,0.5412673950195312
1649289022.3934274,[],0,0.5413396954536438,0.5413396954536438,0.5094961524009705,0.5413396954536438
1649289022.4935753,[],0,0.7642035484313965,0.8119662404060364,0.7642035484313965,0.8119662404060364
1649289022.6434586,[],0,0.3816257119178772,0.3180214464664459,0.34982359409332275,0.34982359409332275
1649289022.8037214,[],0,0.5217282176017761,0.4910382926464081,0.4910382926464081,0.552418053150177
1649289022.8954134,[],0,0.8577256798744202,0.8577256798744202,0.8072712421417236,0.8577256798744202
1649289023.047137,[],0,0.3466580808162689,0.3466580808162689,0.3466580808162689,0.3466580808162689
1649289023.1934295,[],0,0.5475476384162903,0.5153389573097229,0.48313024640083313,0.5475476384162903
1649289023.3435419,[],0,0.5406081080436707,0.5088076591491699,0.5088076591491699,0.5088076591491699
1649289023.4440088,[],0,0.8083838820457458,0.8083838820457458,0.8083838820457458,0.8083838820457458
1649289023.5937033,[],0,0.3511166572570801,0.3511166572570801,0.3511166572570801,0.3511166572570801
1649289023.7451668,[],0,0.5363461375236511,0.47324657440185547,0.5047963261604309,0.5363461375236511
